state_code,level_name,statename,date,value,variable,graph_title
IND,national,India,2017-01-01,1845.73,"sector : total; Gender : Female; Price Type : Constant Prices; Caste : All; Religion : All","Average Monthly Consumption Expenditure (MPCE): (Constant/Current) by Gender, Caste, Religion and Sector (Rupees, Source: NSS)"
17,state,Meghalaya,2017-01-01,2028.07,"sector : total; Gender : Female; Price Type : Constant Prices; Caste : All; Religion : All","Average Monthly Consumption Expenditure (MPCE): (Constant/Current) by Gender, Caste, Religion and Sector (Rupees, Source: NSS)"
1,state,Jammu & Kashmir,2017-01-01,2254.02,"sector : total; Gender : Female; Price Type : Constant Prices; Caste : All; Religion : All","Average Monthly Consumption Expenditure (MPCE): (Constant/Current) by Gender, Caste, Religion and Sector (Rupees, Source: NSS)"
2,state,Himachal Pradesh,2017-01-01,1997.03,"sector : total; Gender : Female; Price Type : Constant Prices; Caste : All; Religion : All","Average Monthly Consumption Expenditure (MPCE): (Constant/Current) by Gender, Caste, Religion and Sector (Rupees, Source: NSS)"
3,state,Punjab,2017-01-01,2803.41,"sector : total; Gender : Female; Price Type : Constant Prices; Caste : All; Religion : All","Average Monthly Consumption Expenditure (MPCE): (Constant/Current) by Gender, Caste, Religion and Sector (Rupees, Source: NSS)"
4,state,Chandigarh,2017-01-01,3809.21,"sector : total; Gender : Female; Price Type : Constant Prices; Caste : All; Religion : All","Average Monthly Consumption Expenditure (MPCE): (Constant/Current) by Gender, Caste, Religion and Sector (Rupees, Source: NSS)"
5,state,Uttarakhand,2017-01-01,2078.98,"sector : total; Gender : Female; Price Type : Constant Prices; Caste : All; Religion : All","Average Monthly Consumption Expenditure (MPCE): (Constant/Current) by Gender, Caste, Religion and Sector (Rupees, Source: NSS)"
6,state,Haryana,2017-01-01,2166.31,"sector : total; Gender : Female; Price Type : Constant Prices; Caste : All; Religion : All","Average Monthly Consumption Expenditure (MPCE): (Constant/Current) by Gender, Caste, Religion and Sector (Rupees, Source: NSS)"
7,state,NCT of Delhi,2017-01-01,3084.57,"sector : total; Gender : Female; Price Type : Constant Prices; Caste : All; Religion : All","Average Monthly Consumption Expenditure (MPCE): (Constant/Current) by Gender, Caste, Religion and Sector (Rupees, Source: NSS)"
8,state,Rajasthan,2017-01-01,1786.64,"sector : total; Gender : Female; Price Type : Constant Prices; Caste : All; Religion : All","Average Monthly Consumption Expenditure (MPCE): (Constant/Current) by Gender, Caste, Religion and Sector (Rupees, Source: NSS)"
9,state,Uttar Pradesh,2017-01-01,1416.94,"sector : total; Gender : Female; Price Type : Constant Prices; Caste : All; Religion : All","Average Monthly Consumption Expenditure (MPCE): (Constant/Current) by Gender, Caste, Religion and Sector (Rupees, Source: NSS)"
10,state,Bihar,2017-01-01,1257.41,"sector : total; Gender : Female; Price Type : Constant Prices; Caste : All; Religion : All","Average Monthly Consumption Expenditure (MPCE): (Constant/Current) by Gender, Caste, Religion and Sector (Rupees, Source: NSS)"
11,state,Sikkim,2017-01-01,2009.60,"sector : total; Gender : Female; Price Type : Constant Prices; Caste : All; Religion : All","Average Monthly Consumption Expenditure (MPCE): (Constant/Current) by Gender, Caste, Religion and Sector (Rupees, Source: NSS)"
12,state,Arunachal Pradesh,2017-01-01,2372.41,"sector : total; Gender : Female; Price Type : Constant Prices; Caste : All; Religion : All","Average Monthly Consumption Expenditure (MPCE): (Constant/Current) by Gender, Caste, Religion and Sector (Rupees, Source: NSS)"
13,state,Nagaland,2017-01-01,1829.63,"sector : total; Gender : Female; Price Type : Constant Prices; Caste : All; Religion : All","Average Monthly Consumption Expenditure (MPCE): (Constant/Current) by Gender, Caste, Religion and Sector (Rupees, Source: NSS)"
14,state,Manipur,2017-01-01,2100.25,"sector : total; Gender : Female; Price Type : Constant Prices; Caste : All; Religion : All","Average Monthly Consumption Expenditure (MPCE): (Constant/Current) by Gender, Caste, Religion and Sector (Rupees, Source: NSS)"
