state_code,level_name,statename,date,value,variable,graph_title
23,state,Madhya Pradesh,2016-03-01,26.50,"sector : total; Gender : Male; Indicator : Percentage with Eight to Nine Years of Schooling","Level of Schooling (15-49 Yrs) by State/Union Territories (percent, Source: NFHS)"
24,state,Gujarat,2016-03-01,25.00,"sector : total; Gender : Male; Indicator : Percentage with Eight to Nine Years of Schooling","Level of Schooling (15-49 Yrs) by State/Union Territories (percent, Source: NFHS)"
25,state,Daman & Diu,2016-03-01,20.60,"sector : total; Gender : Male; Indicator : Percentage with Eight to Nine Years of Schooling","Level of Schooling (15-49 Yrs) by State/Union Territories (percent, Source: NFHS)"
26,state,Dadra & Nagar Haveli,2016-03-01,18.60,"sector : total; Gender : Male; Indicator : Percentage with Eight to Nine Years of Schooling","Level of Schooling (15-49 Yrs) by State/Union Territories (percent, Source: NFHS)"
27,state,Maharashtra,2016-03-01,23.00,"sector : total; Gender : Male; Indicator : Percentage with Eight to Nine Years of Schooling","Level of Schooling (15-49 Yrs) by State/Union Territories (percent, Source: NFHS)"
28,state,Andhra Pradesh,2016-03-01,9.98,"sector : total; Gender : Male; Indicator : Percentage with Eight to Nine Years of Schooling","Level of Schooling (15-49 Yrs) by State/Union Territories (percent, Source: NFHS)"
29,state,Karnataka,2016-03-01,11.80,"sector : total; Gender : Male; Indicator : Percentage with Eight to Nine Years of Schooling","Level of Schooling (15-49 Yrs) by State/Union Territories (percent, Source: NFHS)"
30,state,Goa,2016-03-01,20.30,"sector : total; Gender : Male; Indicator : Percentage with Eight to Nine Years of Schooling","Level of Schooling (15-49 Yrs) by State/Union Territories (percent, Source: NFHS)"
31,state,Lakshadweep,2016-03-01,8.30,"sector : total; Gender : Male; Indicator : Percentage with Eight to Nine Years of Schooling","Level of Schooling (15-49 Yrs) by State/Union Territories (percent, Source: NFHS)"
32,state,Kerala,2016-03-01,18.60,"sector : total; Gender : Male; Indicator : Percentage with Eight to Nine Years of Schooling","Level of Schooling (15-49 Yrs) by State/Union Territories (percent, Source: NFHS)"
33,state,Tamil Nadu,2016-03-01,16.20,"sector : total; Gender : Male; Indicator : Percentage with Eight to Nine Years of Schooling","Level of Schooling (15-49 Yrs) by State/Union Territories (percent, Source: NFHS)"
34,state,Puducherry,2016-03-01,16.30,"sector : total; Gender : Male; Indicator : Percentage with Eight to Nine Years of Schooling","Level of Schooling (15-49 Yrs) by State/Union Territories (percent, Source: NFHS)"
