state_code,level_name,statename,date,value,variable,graph_title
23,state,Madhya Pradesh,2016-03-01,50.50,"sector : total; Age : 15-49; Gender : Female; Indicator : Percentage of Women Aged 15-49 Who Agree with at Least One of the Specified Reasons","Attitudes Towards Wife-beating by Gender and State (percent, Source: NFHS)"
24,state,Gujarat,2016-03-01,34.80,"sector : total; Age : 15-49; Gender : Female; Indicator : Percentage of Women Aged 15-49 Who Agree with at Least One of the Specified Reasons","Attitudes Towards Wife-beating by Gender and State (percent, Source: NFHS)"
25,state,Daman & Diu,2016-03-01,44.80,"sector : total; Age : 15-49; Gender : Female; Indicator : Percentage of Women Aged 15-49 Who Agree with at Least One of the Specified Reasons","Attitudes Towards Wife-beating by Gender and State (percent, Source: NFHS)"
26,state,Dadra & Nagar Haveli,2016-03-01,40.60,"sector : total; Age : 15-49; Gender : Female; Indicator : Percentage of Women Aged 15-49 Who Agree with at Least One of the Specified Reasons","Attitudes Towards Wife-beating by Gender and State (percent, Source: NFHS)"
27,state,Maharashtra,2016-03-01,48.50,"sector : total; Age : 15-49; Gender : Female; Indicator : Percentage of Women Aged 15-49 Who Agree with at Least One of the Specified Reasons","Attitudes Towards Wife-beating by Gender and State (percent, Source: NFHS)"
28,state,Andhra Pradesh,2016-03-01,83.25,"sector : total; Age : 15-49; Gender : Female; Indicator : Percentage of Women Aged 15-49 Who Agree with at Least One of the Specified Reasons","Attitudes Towards Wife-beating by Gender and State (percent, Source: NFHS)"
29,state,Karnataka,2016-03-01,58.10,"sector : total; Age : 15-49; Gender : Female; Indicator : Percentage of Women Aged 15-49 Who Agree with at Least One of the Specified Reasons","Attitudes Towards Wife-beating by Gender and State (percent, Source: NFHS)"
30,state,Goa,2016-03-01,21.30,"sector : total; Age : 15-49; Gender : Female; Indicator : Percentage of Women Aged 15-49 Who Agree with at Least One of the Specified Reasons","Attitudes Towards Wife-beating by Gender and State (percent, Source: NFHS)"
31,state,Lakshadweep,2016-03-01,59.50,"sector : total; Age : 15-49; Gender : Female; Indicator : Percentage of Women Aged 15-49 Who Agree with at Least One of the Specified Reasons","Attitudes Towards Wife-beating by Gender and State (percent, Source: NFHS)"
32,state,Kerala,2016-03-01,69.40,"sector : total; Age : 15-49; Gender : Female; Indicator : Percentage of Women Aged 15-49 Who Agree with at Least One of the Specified Reasons","Attitudes Towards Wife-beating by Gender and State (percent, Source: NFHS)"
