state_code,level_name,statename,date,value,variable,graph_title
23,state,Madhya Pradesh,2016-03-01,60.50,"sector : total; Gender : Female; Indicator : Percentage of Currently Married Women Aged 15-49 Who Usually Make Decisions Either by Themselves or Jointly with Their Husband about All Three Decisions","Women's Participation in Decision Making by State/Union Territories (percent, Source: NFHS)"
24,state,Gujarat,2016-03-01,62.00,"sector : total; Gender : Female; Indicator : Percentage of Currently Married Women Aged 15-49 Who Usually Make Decisions Either by Themselves or Jointly with Their Husband about All Three Decisions","Women's Participation in Decision Making by State/Union Territories (percent, Source: NFHS)"
25,state,Daman & Diu,2016-03-01,60.20,"sector : total; Gender : Female; Indicator : Percentage of Currently Married Women Aged 15-49 Who Usually Make Decisions Either by Themselves or Jointly with Their Husband about All Three Decisions","Women's Participation in Decision Making by State/Union Territories (percent, Source: NFHS)"
26,state,Dadra & Nagar Haveli,2016-03-01,52.00,"sector : total; Gender : Female; Indicator : Percentage of Currently Married Women Aged 15-49 Who Usually Make Decisions Either by Themselves or Jointly with Their Husband about All Three Decisions","Women's Participation in Decision Making by State/Union Territories (percent, Source: NFHS)"
27,state,Maharashtra,2016-03-01,67.60,"sector : total; Gender : Female; Indicator : Percentage of Currently Married Women Aged 15-49 Who Usually Make Decisions Either by Themselves or Jointly with Their Husband about All Three Decisions","Women's Participation in Decision Making by State/Union Territories (percent, Source: NFHS)"
28,state,Andhra Pradesh,2016-03-01,57.71,"sector : total; Gender : Female; Indicator : Percentage of Currently Married Women Aged 15-49 Who Usually Make Decisions Either by Themselves or Jointly with Their Husband about All Three Decisions","Women's Participation in Decision Making by State/Union Territories (percent, Source: NFHS)"
29,state,Karnataka,2016-03-01,60.70,"sector : total; Gender : Female; Indicator : Percentage of Currently Married Women Aged 15-49 Who Usually Make Decisions Either by Themselves or Jointly with Their Husband about All Three Decisions","Women's Participation in Decision Making by State/Union Territories (percent, Source: NFHS)"
30,state,Goa,2016-03-01,83.70,"sector : total; Gender : Female; Indicator : Percentage of Currently Married Women Aged 15-49 Who Usually Make Decisions Either by Themselves or Jointly with Their Husband about All Three Decisions","Women's Participation in Decision Making by State/Union Territories (percent, Source: NFHS)"
31,state,Lakshadweep,2016-03-01,40.10,"sector : total; Gender : Female; Indicator : Percentage of Currently Married Women Aged 15-49 Who Usually Make Decisions Either by Themselves or Jointly with Their Husband about All Three Decisions","Women's Participation in Decision Making by State/Union Territories (percent, Source: NFHS)"
32,state,Kerala,2016-03-01,67.60,"sector : total; Gender : Female; Indicator : Percentage of Currently Married Women Aged 15-49 Who Usually Make Decisions Either by Themselves or Jointly with Their Husband about All Three Decisions","Women's Participation in Decision Making by State/Union Territories (percent, Source: NFHS)"
33,state,Tamil Nadu,2016-03-01,68.10,"sector : total; Gender : Female; Indicator : Percentage of Currently Married Women Aged 15-49 Who Usually Make Decisions Either by Themselves or Jointly with Their Husband about All Three Decisions","Women's Participation in Decision Making by State/Union Territories (percent, Source: NFHS)"
34,state,Puducherry,2016-03-01,65.00,"sector : total; Gender : Female; Indicator : Percentage of Currently Married Women Aged 15-49 Who Usually Make Decisions Either by Themselves or Jointly with Their Husband about All Three Decisions","Women's Participation in Decision Making by State/Union Territories (percent, Source: NFHS)"
