state_code,level_name,statename,date,value,variable,graph_title
23,state,Madhya Pradesh,2016-03-01,9.20,"sector : total; Gender : Female; Indicator : Percentage with Ten to Eleven Years of Schooling","Level of Schooling (15-49 Yrs) by State/Union Territories (percent, Source: NFHS)"
24,state,Gujarat,2016-03-01,12.50,"sector : total; Gender : Female; Indicator : Percentage with Ten to Eleven Years of Schooling","Level of Schooling (15-49 Yrs) by State/Union Territories (percent, Source: NFHS)"
25,state,Daman & Diu,2016-03-01,21.00,"sector : total; Gender : Female; Indicator : Percentage with Ten to Eleven Years of Schooling","Level of Schooling (15-49 Yrs) by State/Union Territories (percent, Source: NFHS)"
26,state,Dadra & Nagar Haveli,2016-03-01,13.60,"sector : total; Gender : Female; Indicator : Percentage with Ten to Eleven Years of Schooling","Level of Schooling (15-49 Yrs) by State/Union Territories (percent, Source: NFHS)"
27,state,Maharashtra,2016-03-01,17.00,"sector : total; Gender : Female; Indicator : Percentage with Ten to Eleven Years of Schooling","Level of Schooling (15-49 Yrs) by State/Union Territories (percent, Source: NFHS)"
28,state,Andhra Pradesh,2016-03-01,18.25,"sector : total; Gender : Female; Indicator : Percentage with Ten to Eleven Years of Schooling","Level of Schooling (15-49 Yrs) by State/Union Territories (percent, Source: NFHS)"
29,state,Karnataka,2016-03-01,22.00,"sector : total; Gender : Female; Indicator : Percentage with Ten to Eleven Years of Schooling","Level of Schooling (15-49 Yrs) by State/Union Territories (percent, Source: NFHS)"
30,state,Goa,2016-03-01,23.70,"sector : total; Gender : Female; Indicator : Percentage with Ten to Eleven Years of Schooling","Level of Schooling (15-49 Yrs) by State/Union Territories (percent, Source: NFHS)"
31,state,Lakshadweep,2016-03-01,25.30,"sector : total; Gender : Female; Indicator : Percentage with Ten to Eleven Years of Schooling","Level of Schooling (15-49 Yrs) by State/Union Territories (percent, Source: NFHS)"
32,state,Kerala,2016-03-01,24.40,"sector : total; Gender : Female; Indicator : Percentage with Ten to Eleven Years of Schooling","Level of Schooling (15-49 Yrs) by State/Union Territories (percent, Source: NFHS)"
33,state,Tamil Nadu,2016-03-01,18.90,"sector : total; Gender : Female; Indicator : Percentage with Ten to Eleven Years of Schooling","Level of Schooling (15-49 Yrs) by State/Union Territories (percent, Source: NFHS)"
34,state,Puducherry,2016-03-01,21.50,"sector : total; Gender : Female; Indicator : Percentage with Ten to Eleven Years of Schooling","Level of Schooling (15-49 Yrs) by State/Union Territories (percent, Source: NFHS)"
35,state,Andaman & Nicobar Islands,2016-03-01,16.50,"sector : total; Gender : Female; Indicator : Percentage with Ten to Eleven Years of Schooling","Level of Schooling (15-49 Yrs) by State/Union Territories (percent, Source: NFHS)"
1,state,Jammu & Kashmir,2016-03-01,15.20,"sector : total; Gender : Female; Indicator : Percentage with Ten to Eleven Years of Schooling","Level of Schooling (15-49 Yrs) by State/Union Territories (percent, Source: NFHS)"
2,state,Himachal Pradesh,2016-03-01,22.70,"sector : total; Gender : Female; Indicator : Percentage with Ten to Eleven Years of Schooling","Level of Schooling (15-49 Yrs) by State/Union Territories (percent, Source: NFHS)"
3,state,Punjab,2016-03-01,20.50,"sector : total; Gender : Female; Indicator : Percentage with Ten to Eleven Years of Schooling","Level of Schooling (15-49 Yrs) by State/Union Territories (percent, Source: NFHS)"
4,state,Chandigarh,2016-03-01,15.40,"sector : total; Gender : Female; Indicator : Percentage with Ten to Eleven Years of Schooling","Level of Schooling (15-49 Yrs) by State/Union Territories (percent, Source: NFHS)"
5,state,Uttarakhand,2016-03-01,14.10,"sector : total; Gender : Female; Indicator : Percentage with Ten to Eleven Years of Schooling","Level of Schooling (15-49 Yrs) by State/Union Territories (percent, Source: NFHS)"
6,state,Haryana,2016-03-01,17.20,"sector : total; Gender : Female; Indicator : Percentage with Ten to Eleven Years of Schooling","Level of Schooling (15-49 Yrs) by State/Union Territories (percent, Source: NFHS)"
7,state,NCT of Delhi,2016-03-01,18.30,"sector : total; Gender : Female; Indicator : Percentage with Ten to Eleven Years of Schooling","Level of Schooling (15-49 Yrs) by State/Union Territories (percent, Source: NFHS)"
8,state,Rajasthan,2016-03-01,9.10,"sector : total; Gender : Female; Indicator : Percentage with Ten to Eleven Years of Schooling","Level of Schooling (15-49 Yrs) by State/Union Territories (percent, Source: NFHS)"
9,state,Uttar Pradesh,2016-03-01,10.20,"sector : total; Gender : Female; Indicator : Percentage with Ten to Eleven Years of Schooling","Level of Schooling (15-49 Yrs) by State/Union Territories (percent, Source: NFHS)"
10,state,Bihar,2016-03-01,10.70,"sector : total; Gender : Female; Indicator : Percentage with Ten to Eleven Years of Schooling","Level of Schooling (15-49 Yrs) by State/Union Territories (percent, Source: NFHS)"
11,state,Sikkim,2016-03-01,16.90,"sector : total; Gender : Female; Indicator : Percentage with Ten to Eleven Years of Schooling","Level of Schooling (15-49 Yrs) by State/Union Territories (percent, Source: NFHS)"
12,state,Arunachal Pradesh,2016-03-01,13.70,"sector : total; Gender : Female; Indicator : Percentage with Ten to Eleven Years of Schooling","Level of Schooling (15-49 Yrs) by State/Union Territories (percent, Source: NFHS)"
13,state,Nagaland,2016-03-01,14.40,"sector : total; Gender : Female; Indicator : Percentage with Ten to Eleven Years of Schooling","Level of Schooling (15-49 Yrs) by State/Union Territories (percent, Source: NFHS)"
14,state,Manipur,2016-03-01,17.90,"sector : total; Gender : Female; Indicator : Percentage with Ten to Eleven Years of Schooling","Level of Schooling (15-49 Yrs) by State/Union Territories (percent, Source: NFHS)"
15,state,Mizoram,2016-03-01,16.90,"sector : total; Gender : Female; Indicator : Percentage with Ten to Eleven Years of Schooling","Level of Schooling (15-49 Yrs) by State/Union Territories (percent, Source: NFHS)"
16,state,Tripura,2016-03-01,11.90,"sector : total; Gender : Female; Indicator : Percentage with Ten to Eleven Years of Schooling","Level of Schooling (15-49 Yrs) by State/Union Territories (percent, Source: NFHS)"
17,state,Meghalaya,2016-03-01,14.70,"sector : total; Gender : Female; Indicator : Percentage with Ten to Eleven Years of Schooling","Level of Schooling (15-49 Yrs) by State/Union Territories (percent, Source: NFHS)"
